"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2778","@ShoppingCart Add product and verify Add to Cart button changes to Remove","chromium","2026-04-04","passed","2026-04-04","@ShoppingCart Shopping Cart Tests","shoppingcartTest.spec.ts","",""
"","2933","@ShoppingCart Cart persists after page refresh","chromium","2026-04-04","passed","2026-04-04","@ShoppingCart Shopping Cart Tests","shoppingcartTest.spec.ts","",""
"","2994","@ShoppingCart Edge Case: Add same product twice","chromium","2026-04-04","passed","2026-04-04","@ShoppingCart Shopping Cart Tests","shoppingcartTest.spec.ts","",""
"","2809","@ShoppingCart Add multiple different products to cart","chromium","2026-04-04","passed","2026-04-04","@ShoppingCart Shopping Cart Tests","shoppingcartTest.spec.ts","",""
"","4107","@ShoppingCart Negative: Verify cart item count does not exceed product inventory","chromium","2026-04-04","passed","2026-04-04","@ShoppingCart Shopping Cart Tests","shoppingcartTest.spec.ts","",""
"","4114","@ShoppingCart Negative: Verify button state for non-existent product","chromium","2026-04-04","passed","2026-04-04","@ShoppingCart Shopping Cart Tests","shoppingcartTest.spec.ts","",""
"","2560","@ShoppingCart Remove product from cart and verify","chromium","2026-04-04","passed","2026-04-04","@ShoppingCart Shopping Cart Tests","shoppingcartTest.spec.ts","",""
"","5974","get started link","chromium","2026-04-04","passed","2026-04-04","","example.spec.ts","",""
"","3087","@ShoppingCart Edge Case: Add product when cart already has maximum items","chromium","2026-04-04","passed","2026-04-04","@ShoppingCart Shopping Cart Tests","shoppingcartTest.spec.ts","",""
"","7187","@Login Sucessfull login with valid credintials","chromium","2026-04-04","passed","2026-04-04","@Login Login Page Tests","loginTest.spec.ts","",""
"","2800","@Login Failed login with empty password","chromium","2026-04-04","passed","2026-04-04","@Login Login Page Tests","loginTest.spec.ts","",""
"","2964","@ShoppingCart Edge Case: Empty cart by removing all products","chromium","2026-04-04","passed","2026-04-04","@ShoppingCart Shopping Cart Tests","shoppingcartTest.spec.ts","",""
"","3024","@ShoppingCart Remove product and verify button changes back to Add to Cart","chromium","2026-04-04","passed","2026-04-04","@ShoppingCart Shopping Cart Tests","shoppingcartTest.spec.ts","",""
"","3006","@ShoppingCart Negative: Add and immediately remove product before page refresh","chromium","2026-04-04","passed","2026-04-04","@ShoppingCart Shopping Cart Tests","shoppingcartTest.spec.ts","",""
"","10661","@Login Failed login with invalid username","chromium","2026-04-04","passed","2026-04-04","@Login Login Page Tests","loginTest.spec.ts","",""
"","2945","@ShoppingCart Verify cart item count increments correctly","chromium","2026-04-04","passed","2026-04-04","@ShoppingCart Shopping Cart Tests","shoppingcartTest.spec.ts","",""
"","2497","@Login Failed login with both fields empty","chromium","2026-04-04","passed","2026-04-04","@Login Login Page Tests","loginTest.spec.ts","",""
"","2570","@Login Failed login with empty username","chromium","2026-04-04","passed","2026-04-04","@Login Login Page Tests","loginTest.spec.ts","",""
"","5867","has title","chromium","2026-04-04","passed","2026-04-04","","example.spec.ts","",""
"","7104","@Login Successful login with problem_user","chromium","2026-04-04","passed","2026-04-04","@Login Login Page Tests","loginTest.spec.ts","",""
"","2","@ShoppingCart Negative: Attempt to remove product not in cart","chromium","2026-04-03","skipped","2026-04-03","@ShoppingCart Shopping Cart Tests","shoppingcartTest.spec.ts","",""
"","10596","@Login Failed login with invalid password","chromium","2026-04-04","passed","2026-04-04","@Login Login Page Tests","loginTest.spec.ts","",""
"","5618","@Login Failed login with locked_out_user","chromium","2026-04-04","passed","2026-04-04","@Login Login Page Tests","loginTest.spec.ts","",""
"","11200","@Login Successful login with performance_glitch_user","chromium","2026-04-04","passed","2026-04-04","@Login Login Page Tests","loginTest.spec.ts","",""
"","7264","@Login Session persists across page refresh","chromium","2026-04-04","passed","2026-04-04","@Login Login Page Tests","loginTest.spec.ts","",""
"","2911","@ShoppingCart Add product to cart and verify","chromium","2026-04-04","passed","2026-04-04","@ShoppingCart Shopping Cart Tests","shoppingcartTest.spec.ts","",""
