"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1267","@ShoppingCart Verify cart item count increments correctly","chromium","2026-04-05","passed","2026-04-05","@ShoppingCart Shopping Cart Tests","shoppingcartTest.spec.ts","",""
"","1129","@ShoppingCart Edge Case: Empty cart by removing all products","chromium","2026-04-05","passed","2026-04-05","@ShoppingCart Shopping Cart Tests","shoppingcartTest.spec.ts","",""
"","964","@Login Successful login with problem_user","chromium","2026-04-05","passed","2026-04-05","@Login Login Page Tests","loginTest.spec.ts","",""
"","1184","@ShoppingCart Remove product from cart and verify","chromium","2026-04-05","passed","2026-04-05","@ShoppingCart Shopping Cart Tests","shoppingcartTest.spec.ts","",""
"","864","@Login Failed login with empty username","chromium","2026-04-05","passed","2026-04-05","@Login Login Page Tests","loginTest.spec.ts","",""
"","658","get started link","chromium","2026-04-05","passed","2026-04-05","","example.spec.ts","",""
"","1079","@Login Session persists across page refresh","chromium","2026-04-05","passed","2026-04-05","@Login Login Page Tests","loginTest.spec.ts","",""
"","1124","@Login Failed login with both fields empty","chromium","2026-04-05","passed","2026-04-05","@Login Login Page Tests","loginTest.spec.ts","",""
"","1078","@ShoppingCart Negative: Add and immediately remove product before page refresh","chromium","2026-04-05","passed","2026-04-05","@ShoppingCart Shopping Cart Tests","shoppingcartTest.spec.ts","",""
"","1013","@ShoppingCart Edge Case: Add same product twice","chromium","2026-04-05","passed","2026-04-05","@ShoppingCart Shopping Cart Tests","shoppingcartTest.spec.ts","",""
"","1095","@ShoppingCart Cart persists after page refresh","chromium","2026-04-05","passed","2026-04-05","@ShoppingCart Shopping Cart Tests","shoppingcartTest.spec.ts","",""
"","5743","@Login Successful login with performance_glitch_user","chromium","2026-04-05","passed","2026-04-05","@Login Login Page Tests","loginTest.spec.ts","",""
"","1243","@ShoppingCart Edge Case: Add product when cart already has maximum items","chromium","2026-04-05","passed","2026-04-05","@ShoppingCart Shopping Cart Tests","shoppingcartTest.spec.ts","",""
"","4825","@Login Failed login with locked_out_user","chromium","2026-04-05","passed","2026-04-05","@Login Login Page Tests","loginTest.spec.ts","",""
"","434","has title","chromium","2026-04-05","passed","2026-04-05","","example.spec.ts","",""
"","1182","@ShoppingCart Add product and verify Add to Cart button changes to Remove","chromium","2026-04-05","passed","2026-04-05","@ShoppingCart Shopping Cart Tests","shoppingcartTest.spec.ts","",""
"","1307","@Login Failed login with empty password","chromium","2026-04-05","passed","2026-04-05","@Login Login Page Tests","loginTest.spec.ts","",""
"","1258","@ShoppingCart Add product to cart and verify","chromium","2026-04-05","passed","2026-04-05","@ShoppingCart Shopping Cart Tests","shoppingcartTest.spec.ts","",""
"","1079","@Login Sucessfull login with valid credintials","chromium","2026-04-05","passed","2026-04-05","@Login Login Page Tests","loginTest.spec.ts","",""
"","1205","@ShoppingCart Remove product and verify button changes back to Add to Cart","chromium","2026-04-05","passed","2026-04-05","@ShoppingCart Shopping Cart Tests","shoppingcartTest.spec.ts","",""
"","1268","@ShoppingCart Add multiple different products to cart","chromium","2026-04-05","passed","2026-04-05","@ShoppingCart Shopping Cart Tests","shoppingcartTest.spec.ts","",""
"","1212","@ShoppingCart Negative: Verify cart item count does not exceed product inventory","chromium","2026-04-05","passed","2026-04-05","@ShoppingCart Shopping Cart Tests","shoppingcartTest.spec.ts","",""
"","4080","@Login Failed login with invalid password","chromium","2026-04-05","passed","2026-04-05","@Login Login Page Tests","loginTest.spec.ts","",""
"","4077","@Login Failed login with invalid username","chromium","2026-04-05","passed","2026-04-05","@Login Login Page Tests","loginTest.spec.ts","",""
"","1017","@ShoppingCart Negative: Verify button state for non-existent product","chromium","2026-04-05","passed","2026-04-05","@ShoppingCart Shopping Cart Tests","shoppingcartTest.spec.ts","",""
